dummy,pos_x,pos_y,pos_z,b827ebfd7811,000000000402,b827ebf7d096,000000000202,000000000201,000000000301,000000000401,b827eb4521b4,000000000101,000000000102,000000000302,b827eb917e19
0,0.16,15.33,1.85,-81,-78,-80,-74,-70,-80,-79,-70,-77,-77,-77,-70
0,0.16,15.33,1.85,-80,-77,-81,-74,-66,-86,-76,-73,-78,-72,-86,-75
0,0.16,15.33,1.85,-80,-75,-81,-73,-63,-86,-78,-70,-71,-72,-77,-72
0,0.16,15.33,1.85,-80,-78,-80,-75,-70,-86,-76,-70,-85,-77,-77,-70
0,0.16,15.33,1.85,-81,-75,-82,-73,-63,-76,-78,-76,-70,-75,-86,-77
0,0.16,15.33,1.85,-83,-75,-82,-73,-63,-82,-83,-76,-71,-77,-77,-72
0,0.16,15.33,1.85,-80,-75,-83,-73,-70,-86,-78,-70,-71,-77,-77,-72
0,0.16,15.33,1.85,-80,-77,-81,-74,-63,-77,-79,-77,-78,-77,-86,-74
0,0.16,15.33,1.85,-80,-74,-82,-73,-67,-82,-79,-71,-71,-77,-77,-74
0,0.16,15.33,1.85,-80,-75,-82,-73,-63,-77,-79,-83,-71,-79,-77,-74
0,0.16,15.33,1.85,-80,-74,-82,-73,-67,-82,-79,-70,-70,-77,-77,-75
0,0.16,15.33,1.85,-81,-75,-82,-70,-63,-74,-78,-76,-71,-77,-82,-75
0,0.16,15.33,1.85,-80,-75,-82,-73,-63,-78,-80,-76,-71,-75,-77,-72
0,0.16,15.33,1.85,-81,-78,-82,-74,-62,-75,-76,-76,-85,-72,-86,-79
0,0.16,15.33,1.85,-80,-78,-81,-73,-70,-86,-79,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-81,-77,-81,-74,-63,-74,-78,-76,-85,-77,-85,-70
0,0.16,15.33,1.85,-81,-74,-82,-74,-63,-76,-76,-76,-85,-72,-86,-77
0,0.16,15.33,1.85,-79,-77,-80,-74,-67,-82,-79,-70,-71,-77,-77,-69
0,0.16,15.33,1.85,-86,-75,-82,-73,-70,-86,-79,-70,-71,-77,-77,-72
0,0.16,15.33,1.85,-81,-78,-80,-74,-66,-82,-79,-70,-78,-77,-77,-69
0,0.16,15.33,1.85,-81,-78,-80,-74,-66,-86,-79,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-80,-78,-80,-74,-62,-80,-76,-71,-85,-77,-77,-70
0,0.16,15.33,1.85,-80,-74,-83,-74,-63,-76,-80,-90,-85,-77,-87,-77
0,0.16,15.33,1.85,-80,-78,-80,-74,-63,-86,-79,-70,-78,-77,-77,-69
0,0.16,15.33,1.85,-81,-76,-80,-74,-62,-74,-76,-76,-85,-72,-86,-79
0,0.16,15.33,1.85,-81,-75,-82,-73,-70,-85,-78,-70,-71,-77,-87,-70
0,0.16,15.33,1.85,-80,-75,-82,-73,-67,-82,-79,-73,-71,-77,-82,-74
0,0.16,15.33,1.85,-83,-76,-81,-71,-62,-74,-76,-76,-85,-72,-77,-79
0,0.16,15.33,1.85,-80,-75,-82,-73,-63,-78,-79,-76,-71,-77,-77,-72
0,0.16,15.33,1.85,-80,-75,-82,-73,-70,-86,-78,-70,-71,-77,-76,-70
0,0.16,15.33,1.85,-81,-77,-82,-73,-63,-77,-79,-89,-71,-77,-77,-74
0,0.16,15.33,1.85,-80,-75,-82,-73,-70,-86,-79,-70,-71,-77,-76,-72
0,0.16,15.33,1.85,-81,-77,-80,-74,-62,-86,-78,-70,-85,-77,-77,-69
0,0.16,15.33,1.85,-81,-74,-82,-71,-70,-85,-79,-73,-71,-72,-85,-77
0,0.16,15.33,1.85,-80,-77,-82,-73,-70,-77,-78,-73,-71,-72,-86,-74
0,0.16,15.33,1.85,-80,-77,-81,-74,-62,-76,-76,-73,-85,-77,-77,-72
0,0.16,15.33,1.85,-81,-74,-82,-73,-67,-78,-79,-82,-71,-77,-87,-77
0,0.16,15.33,1.85,-80,-77,-81,-74,-62,-80,-76,-71,-71,-77,-77,-74
0,0.16,15.33,1.85,-81,-74,-82,-75,-63,-74,-80,-76,-84,-75,-86,-77
0,0.16,15.33,1.85,-83,-74,-82,-71,-63,-77,-82,-76,-71,-79,-86,-77
0,0.16,15.33,1.85,-80,-76,-81,-74,-62,-74,-76,-76,-85,-77,-82,-70
0,0.16,15.33,1.85,-79,-75,-82,-73,-70,-86,-79,-70,-71,-77,-77,-72
0,0.16,15.33,1.85,-84,-75,-82,-74,-63,-78,-77,-76,-71,-77,-77,-74
0,0.16,15.33,1.85,-81,-77,-82,-73,-62,-86,-79,-70,-71,-75,-77,-70
0,0.16,15.33,1.85,-81,-78,-80,-74,-63,-82,-76,-70,-85,-77,-77,-70
0,0.16,15.33,1.85,-84,-72,-80,-74,-62,-74,-76,-76,-85,-72,-86,-80
0,0.16,15.33,1.85,-80,-78,-81,-74,-66,-86,-76,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-80,-74,-82,-74,-63,-76,-76,-76,-85,-77,-86,-77
0,0.16,15.33,1.85,-79,-77,-81,-73,-66,-86,-79,-70,-71,-77,-77,-70
0,0.16,15.33,1.85,-86,-74,-82,-72,-63,-77,-82,-75,-71,-74,-86,-80
0,0.16,15.33,1.85,-80,-77,-81,-73,-63,-86,-79,-70,-71,-77,-77,-74
0,0.16,15.33,1.85,-81,-74,-82,-74,-63,-76,-78,-76,-84,-77,-86,-75
0,0.16,15.33,1.85,-80,-77,-80,-74,-66,-76,-78,-76,-78,-77,-77,-70
0,0.16,15.33,1.85,-80,-77,-81,-73,-67,-86,-79,-70,-71,-77,-77,-72
