relative_timestamp,timestamp,pos_x,pos_y,pos_z,b827eb4521b4,000000000102,b827eb917e19,b827ebf7d096,b827ebfd7811,000000000101,000000000302,000000000301,000000000402,000000000201,000000000202,000000000401
0.0,1581252411.2478058,11.711,4.128999999999999,1.84,-72,-78,-79,-94,-55,-74.0,-75.0,-86.0,-76.0,-82.0,-80.0,-67.0
4.0,1581252411.7028518,11.671568683545456,4.116871490727273,1.851738552818182,-71,-78,-85,-87,-61,-71.0,-73.0,-78.0,-66.0,-100.0,-75.0,-67.0
9.0,1581252412.1600914,11.627846374444445,4.123087482777778,1.868832147888889,-68,-73,-100,-79,-58,-67.0,-81.0,-100.0,-100.0,-79.0,-79.0,-65.0
13.0,1581252412.6121879,11.675508050818182,4.109138256636364,1.840491949181818,-68,-73,-79,-79,-100,-68.0,-81.0,-72.0,-69.0,-78.0,-78.0,-77.0
18.0,1581252413.0659485,11.700171246555556,4.1034972521111115,1.8206630025555555,-100,-71,-77,-100,-53,-85.0,-100.0,-72.0,-70.0,-86.0,-76.0,-75.0
22.0,1581252413.5172246,11.716739128916666,4.100695654416666,1.81521739175,-79,-71,-77,-91,-53,-82.0,-77.0,-72.0,-68.0,-86.0,-76.0,-78.0
27.0,1581252413.9756489,11.7320199594,4.065999831099999,1.8100518248,-100,-78,-78,-93,-54,-70.0,-81.0,-100.0,-76.0,-81.0,-81.0,-66.0
31.0,1581252414.4273407,11.750665426416665,4.043003720708334,1.8039962792916668,-71,-81,-78,-88,-54,-70.0,-80.0,-85.0,-75.0,-83.0,-75.0,-66.0
36.0,1581252414.883936,11.744355389916668,4.035553898666667,1.8132230505000002,-70,-71,-81,-82,-61,-72.0,-77.0,-75.0,-69.0,-80.0,-79.0,-63.0
40.0,1581252415.3377109,11.75189888195,4.04910025475,1.7930255570500002,-88,-82,-71,-89,-54,-100.0,-78.5,-72.0,-61.0,-100.0,-71.0,-62.0
45.0,1581252415.7945645,11.750080447833334,4.063758656166667,1.7991992535,-100,-74,-75,-100,-60,-100.0,-100.0,-100.0,-68.0,-100.0,-82.0,-58.0
49.0,,,,,-100,-100,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
50.0,1581252416.2462554,11.726769074749999,4.070367906625,1.8041037195,-100,-71,-100,-100,-59,-84.0,-100.0,-72.0,-66.0,-79.0,-75.0,-65.0
54.0,1581252416.7008097,11.637854076125,4.087460658124999,1.8090000000000002,-68,-84,-72,-78,-58,-74.0,-76.0,-77.0,-70.0,-76.5,-81.0,-67.0
59.0,1581252417.1547108,11.5201691887,4.10919050885,1.813,-75,-100,-76,-100,-66,-77.0,-69.0,-80.0,-71.0,-80.0,-79.0,-70.0
63.0,1581252417.6108317,11.3886204398,4.133665102099999,1.8131280848,-73,-81,-71,-91,-63,-71.0,-75.0,-73.0,-75.0,-100.0,-67.0,-100.0
68.0,1581252418.070093,11.243033022888888,4.1530036692222225,1.8215985322222221,-78,-77,-100,-81,-65,-63.0,-82.0,-100.0,-100.0,-84.0,-74.0,-66.0
72.0,1581252418.5289671,11.082477235499999,4.167391726541666,1.834282759583333,-73,-72,-71,-80,-67,-83.0,-81.0,-74.5,-66.0,-84.0,-74.0,-68.0
77.0,1581252418.9892519,10.929474138166668,4.191000000000001,1.8440000000000003,-70,-74,-81,-85,-60,-72.0,-75.0,-70.0,-71.0,-76.0,-81.0,-78.0
82.0,1581252419.449211,10.758219770375,4.186384156999999,1.847,-70,-79,-100,-79,-71,-79.0,-74.0,-100.0,-100.0,-83.0,-100.0,-84.0
86.0,1581252419.900343,10.583967241857142,4.185,1.8491359702857146,-72,-70,-100,-76,-62,-66.0,-78.0,-100.0,-100.0,-100.0,-100.0,-63.0
91.0,1581252420.357674,10.353772328833335,4.177688616249999,1.8387924111666667,-74,-80,-80,-84,-74,-72.0,-77.0,-69.0,-70.0,-86.0,-77.0,-77.0
95.0,1581252420.8153284,10.14422428575,4.172759558583333,1.8297213246666664,-74,-82,-75,-87,-70,-78.0,-71.0,-69.0,-62.0,-74.0,-74.0,-71.0
100.0,1581252421.27553,9.97760462140909,4.166860462045455,1.8367162772727275,-82,-72,-67,-80,-74,-71.0,-75.0,-75.0,-61.0,-100.0,-68.0,-65.0
104.0,1581252421.7343683,9.793585616375,4.150660431875,1.8308302161249999,-100,-70,-69,-100,-100,-100.0,-73.0,-68.0,-74.0,-88.0,-72.0,-64.0
109.0,1581252422.1906915,9.596426298,4.140257612363636,1.8235152248636366,-100,-72,-70,-92,-66,-64.0,-74.0,-79.0,-71.5,-78.0,-73.0,-65.0
113.0,1581252422.6424758,9.399939058249998,4.13937149875,1.82062850125,-71,-86,-73,-86,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
114.0,1581252422.6462212,9.39838344875,4.139400306624999,1.820599693375,-100,-100,-100,-100,-71,-66.0,-74.0,-78.0,-67.0,-83.0,-71.0,-63.0
118.0,1581252423.0976107,9.197753000166667,4.141999307500001,1.813000577083333,-69,-77,-80,-77,-82,-77.0,-75.0,-77.0,-64.0,-81.0,-82.0,-64.0
123.0,1581252423.5505044,9.006205922400001,4.1452499898,1.804779416,-68,-70,-81,-85,-70,-78.0,-78.0,-69.0,-66.0,-100.0,-83.0,-100.0
127.0,1581252424.0026977,8.783741785909092,4.18917831809091,1.7888316688181818,-76,-79,-72,-86,-79,-76.0,-75.0,-70.0,-74.0,-100.0,-76.0,-65.0
132.0,1581252424.4578085,8.589795572363638,4.202246494272727,1.7737535057272724,-66,-77,-79,-78,-75,-63.0,-78.0,-80.0,-78.0,-80.0,-100.0,-67.0
136.0,1581252424.910163,8.386722056444444,4.202528701000001,1.7844712990000002,-70,-76,-100,-83,-64,-60.0,-69.0,-100.0,-100.0,-77.0,-76.0,-65.0
141.0,1581252425.3656235,8.183035744285714,4.210153158714286,1.7959999999999998,-100,-78,-82,-100,-70,-100.0,-100.0,-75.0,-66.0,-100.0,-79.0,-67.0
145.0,1581252425.8219094,7.981933474636364,4.214582697727273,1.7991901130909091,-75,-100,-90,-80,-77,-69.0,-82.0,-78.0,-69.0,-74.0,-78.0,-62.0
150.0,1581252426.274244,7.7876378874545455,4.214330716909091,1.8099984303636363,-72,-100,-77,-85,-81,-62.0,-81.0,-66.0,-72.0,-74.0,-76.0,-63.0
154.0,1581252426.7251596,7.598469829272727,4.213514223818182,1.805069396818182,-72,-100,-76,-95,-76,-65.0,-78.0,-70.0,-75.0,-74.0,-78.0,-63.0
159.0,1581252427.185443,7.400119791363637,4.221000000000001,1.796875264818182,-75,-76,-89,-80,-100,-61.0,-79.0,-72.0,-66.0,-84.0,-83.0,-68.0
163.0,1581252427.640083,7.223258342428571,4.225552338857143,1.7856570165714285,-69,-71,-100,-83,-67,-59.0,-80.0,-100.0,-100.0,-100.0,-100.0,-63.0
168.0,1581252428.0991747,7.055542352124999,4.211083438833334,1.7711251582083332,-86,-77,-81,-88,-69,-63.0,-75.0,-79.0,-74.0,-78.0,-83.0,-81.0
173.0,1581252428.554126,6.9000276566363645,4.197759679909091,1.766919893272727,-70,-100,-70,-80,-74,-62.0,-77.0,-75.0,-68.0,-77.0,-83.0,-74.0
177.0,1581252429.0098734,6.727791045500001,4.1825717963,1.7717833245,-80,-72,-94,-89,-78,-58.0,-73.0,-73.0,-69.0,-100.0,-76.0,-100.0
182.0,1581252429.4669363,6.624377533222222,4.215,1.7498775597777776,-100,-68,-80,-100,-100,-65.0,-77.0,-76.0,-69.0,-83.0,-79.0,-74.0
186.0,1581252429.920304,6.474232248,4.2266295575,1.751543186,-71,-70,-100,-100,-100,-65.0,-75.0,-100.0,-100.0,-80.0,-100.0,-74.0
191.0,1581252430.3761206,6.33191187425,4.2451561753750005,1.781299761375,-100,-73,-85,-100,-69,-70.0,-100.0,-74.0,-71.0,-87.0,-100.0,-74.0
195.0,1581252430.828626,6.190046231791666,4.278018566041666,1.7619352021666668,-73,-82,-72,-83,-72,-65.0,-79.0,-72.0,-70.0,-80.0,-79.0,-67.0
200.0,1581252431.2817106,6.092156925909091,4.3243330653636365,1.7004002412727273,-76,-100,-73,-87,-70,-64.0,-79.0,-71.0,-69.0,-76.0,-80.0,-66.0
204.0,1581252431.7345178,6.126559773090909,4.422170328,1.6701820270909093,-80,-100,-77,-91,-70,-62.0,-75.0,-71.0,-68.0,-80.0,-80.0,-66.0
209.0,1581252432.194134,6.259530876583333,4.4212275185,1.6566161070000003,-89,-79,-83,-91,-75,-69.0,-81.0,-81.0,-72.0,-83.0,-72.0,-77.0
214.0,1581252432.6477997,6.05356572225,4.404328944375,1.726032916625,-100,-74,-100,-100,-74,-67.0,-87.0,-81.0,-100.0,-82.0,-73.0,-75.0
218.0,1581252433.0989373,5.939382523857143,4.407047673142857,1.7665709408571428,-79,-72,-100,-87,-71,-63.0,-83.0,-100.0,-100.0,-100.0,-100.0,-78.0
223.0,1581252433.5553787,5.865098522666667,4.404443658000001,1.7897817116666666,-100,-100,-100,-95,-100,-100.0,-82.0,-100.0,-66.0,-100.0,-100.0,-100.0
227.0,1581252434.0098917,5.8197145954,4.403,1.8044284682499998,-70,-66,-79,-83,-67,-69.0,-84.0,-73.0,-66.0,-80.0,-100.0,-100.0
232.0,1581252434.461971,5.795920290545454,4.410849636727273,1.8135398547272727,-71,-100,-78,-86,-71,-70.0,-82.0,-81.0,-68.0,-75.0,-77.0,-77.0
236.0,1581252434.9187913,5.780230983181818,4.442922541727272,1.8189230058181816,-70,-74,-74,-86,-83,-82.0,-80.0,-100.0,-65.0,-79.0,-79.0,-88.0
241.0,1581252435.3787498,5.774807864285713,4.534370643428572,1.809841152857143,-69,-88,-100,-87,-100,-68.0,-78.0,-100.0,-100.0,-75.0,-100.0,-70.0
245.0,1581252435.8356683,5.7768414901666665,4.668772972833334,1.7845048938333334,-100,-68,-100,-100,-79,-100.0,-100.0,-100.0,-70.0,-83.0,-81.0,-78.0
250.0,1581252436.2882097,5.788100718000001,4.8187409903636365,1.7367194546363636,-66,-67,-82,-91,-90,-70.0,-100.0,-81.0,-69.0,-81.0,-78.0,-81.0
254.0,1581252436.7389352,5.680573733454545,4.967426266545455,1.695556126318182,-63,-68,-77,-83,-77,-64.0,-78.0,-79.5,-68.0,-76.0,-100.0,-82.0
259.0,1581252437.1896544,5.675838876125,5.149769783333333,1.7143555044583334,-63,-70,-85,-91,-73,-67.0,-75.0,-78.0,-76.0,-84.0,-71.0,-75.0
263.0,1581252437.6415844,5.61289204,5.356490943875,1.718848308,-58,-100,-71,-82,-78,-81.0,-81.0,-79.0,-100.0,-100.0,-75.0,-100.0
264.0,1581252437.6451359,5.612618866666668,5.358239252,1.7194766063333333,-100,-100,-100,-100,-100,-100.0,-100.0,-100.0,-77.0,-85.0,-100.0,-71.0
268.0,1581252438.097991,5.583706400909091,5.586555768727273,1.7632698351818183,-61,-72,-100,-86,-73,-63.0,-75.0,-80.0,-80.0,-82.0,-74.0,-75.0
273.0,1581252438.5561528,5.5696713993,5.805952942199999,1.7752206894,-61,-72,-77,-86,-100,-64.0,-83.0,-70.0,-100.0,-80.0,-71.0,-74.0
277.0,1581252439.0082035,5.5674157297999995,6.0316606794,1.7808831459,-65,-65,-76,-85,-83,-63.0,-75.0,-74.0,-83.0,-100.0,-100.0,-75.0
282.0,1581252439.4599664,5.5536846605,6.240734977875,1.74989447975,-67,-70,-100,-87,-82,-66.0,-68.0,-100.0,-100.0,-81.0,-100.0,-67.0
286.0,1581252439.9146929,5.608439760222222,6.449370485888888,1.7677198800000002,-100,-68,-69,-100,-80,-100.0,-78.0,-83.0,-77.0,-81.0,-84.0,-70.0
291.0,1581252440.367595,5.663207461454546,6.660601343727271,1.7830533941818183,-65,-70,-72,-84,-73,-68.0,-74.0,-71.0,-77.0,-100.0,-75.0,-70.0
295.0,1581252440.819603,5.681514072083334,6.885482188249999,1.801742964,-58,-62,-67,-83,-97,-71.0,-75.0,-74.0,-77.0,-76.0,-76.0,-68.0
300.0,1581252441.274906,5.695512079333334,7.119874455833332,1.8107681188333336,-58,-66,-72,-84,-77,-66.0,-74.0,-74.0,-70.0,-73.0,-84.0,-66.0
304.0,1581252441.726216,5.700861805333333,7.345431923916666,1.8167236105000002,-58,-65,-71,-89,-78,-68.0,-77.0,-84.0,-73.0,-86.0,-80.0,-64.0
309.0,1581252442.1864517,5.706111852727273,7.570467429454545,1.8195559261818184,-58,-62,-70,-84,-75,-63.0,-100.0,-74.0,-67.0,-80.0,-84.0,-68.0
313.0,1581252442.637275,5.7121776459,7.788014045300001,1.8219999999999998,-58,-67,-68,-83,-78,-76.0,-74.0,-69.0,-71.0,-100.0,-100.0,-63.0
318.0,1581252443.093696,5.716,8.005826446299999,1.823,-59,-63,-65,-79,-100,-100.0,-74.0,-80.0,-83.0,-80.0,-72.0,-74.0
323.0,1581252443.547929,5.718795418041666,8.222851086833332,1.822602290958333,-60,-64,-66,-88,-82,-75.0,-78.0,-80.0,-75.0,-72.0,-71.0,-72.0
327.0,1581252444.0022383,5.722992752181819,8.455126729545457,1.820952505818182,-68,-100,-70,-81,-97,-68.0,-82.0,-75.0,-67.0,-83.0,-74.0,-71.0
332.0,1581252444.4611266,5.727000000000001,8.6890857694,1.8121548110999999,-64,-63,-70,-82,-77,-70.0,-74.0,-73.0,-80.0,-100.0,-73.0,-100.0
336.0,1581252444.9213905,5.7227740871111115,8.898475067888889,1.8262259128888891,-64,-68,-100,-83,-100,-72.0,-72.0,-76.0,-100.0,-82.0,-69.0,-63.0
341.0,1581252445.3808632,5.712761683666666,9.103911170333333,1.8342383163333336,-64,-77,-63,-79,-74,-69.0,-86.0,-81.0,-68.0,-78.0,-76.0,-72.0
345.0,1581252445.8372595,5.705489481083333,9.317560309583333,1.8380000000000003,-65,-65,-60,-81,-75,-70.0,-81.0,-75.0,-69.0,-72.0,-69.0,-68.0
350.0,1581252446.2910247,5.6973859405,9.5320358464,1.8396929701999998,-68,-75,-61,-81,-88,-74.0,-85.0,-84.0,-70.0,-100.0,-66.0,-100.0
354.0,1581252446.7413824,5.691098452,9.749895981666667,1.8400000000000003,-67,-67,-63,-92,-79,-72.0,-76.0,-87.0,-100.0,-100.0,-69.0,-100.0
355.0,,,,,-100,-100,-100,-100,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
359.0,1581252447.20143,5.698652009944444,9.992653266277777,1.8304057788888892,-65,-64,-100,-90,-100,-69.0,-72.0,-79.0,-100.0,-75.0,-74.0,-77.0
364.0,1581252447.654266,5.678,10.221885473555554,1.8199999999999998,-100,-67,-64,-100,-74,-100.0,-72.0,-77.0,-72.0,-75.0,-70.0,-80.0
368.0,1581252448.107609,5.684723800909091,10.445575925818183,1.817,-67,-66,-64,-90,-75,-80.0,-100.0,-74.0,-77.0,-77.0,-64.0,-86.0
373.0,1581252448.5620909,5.639278718727272,10.641298025181818,1.7048413341818183,-72,-100,-71,-78,-78,-83.0,-83.0,-74.0,-71.0,-68.0,-75.0,-68.0
377.0,1581252449.0160675,5.53,10.866032815666665,1.4882876985,-69,-68,-65,-89,-79,-81.0,-83.0,-71.0,-71.0,-68.0,-69.0,-66.0
382.0,1581252449.4734848,5.580123880090909,11.135596137909092,1.878264510909091,-67,-65,-74,-81,-93,-75.0,-84.0,-77.0,-71.0,-100.0,-63.0,-74.0
386.0,1581252449.9301493,5.556211762999999,11.3618724975,1.757143399875,-73,-67,-100,-77,-100,-77.0,-92.0,-100.0,-100.0,-72.0,-72.0,-81.0
391.0,1581252450.385853,5.405823656428572,11.592027957285714,1.546198388,-100,-76,-70,-100,-100,-100.0,-100.0,-84.0,-80.0,-78.0,-77.0,-79.0
395.0,1581252450.8391058,5.437568592291666,11.766969943458333,1.6622152214583332,-73,-66,-73,-82,-81,-72.0,-79.0,-79.0,-77.0,-75.0,-69.0,-82.0
400.0,1581252451.298378,5.469633834454546,11.970364023363636,1.9632676685454546,-82,-65,-81,-73,-88,-76.0,-100.0,-80.0,-85.0,-84.0,-65.0,-71.0
405.0,1581252451.7514467,5.510209544875,12.152929245500001,1.883444917875,-70,-69,-80,-77,-82,-74.0,-83.0,-69.0,-100.0,-100.0,-100.0,-100.0
409.0,1581252452.2076843,5.521722651727273,12.332262707818181,1.7723869467272728,-72,-66,-68,-86,-89,-92.0,-82.0,-65.0,-91.0,-71.0,-100.0,-75.0
414.0,1581252452.6646965,5.573078524111112,12.501206144444446,1.7354171688888889,-100,-65,-74,-100,-80,-100.0,-85.0,-71.0,-75.0,-75.0,-67.0,-66.0
418.0,1581252453.1230536,5.663783759272728,12.65560938109091,1.733763803090909,-70,-100,-77,-85,-79,-81.0,-78.0,-76.0,-74.0,-71.0,-80.0,-77.0
423.0,1581252453.5745382,5.693327948454546,12.788558491409093,1.7114870285454544,-70,-71,-77,-88,-79,-76.0,-80.0,-74.0,-74.0,-73.0,-100.0,-79.0
427.0,1581252454.025328,5.7298373607499995,12.871229355083335,1.7573173461666667,-72,-76,-74,-82,-78,-73.0,-83.0,-72.0,-76.0,-69.0,-82.0,-77.0
432.0,1581252454.47732,5.805053175499999,12.935840474,1.7755797628333336,-78,-66,-72,-86,-90,-77.0,-84.0,-79.0,-74.0,-67.0,-72.0,-73.0
436.0,1581252454.9342413,5.800864038541667,12.964432019333332,1.7902870071666666,-74,-68,-71,-77,-78,-74.0,-76.0,-73.0,-88.0,-72.0,-64.0,-69.0
441.0,1581252455.3885186,5.837652108909091,12.891197649818183,1.716763159636364,-71,-71,-71,-83,-77,-73.0,-81.0,-73.0,-87.0,-75.0,-100.0,-70.0
445.0,1581252455.8421412,5.8555920297499995,12.7658453535,1.58368026775,-71,-100,-84,-100,-88,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-100.0
446.0,1581252455.844986,5.856160988333333,12.763905721666665,1.5818440831666667,-100,-65,-100,-100,-100,-100.0,-81.0,-74.0,-79.0,-68.0,-100.0,-64.0
450.0,1581252456.294343,5.907513505888889,12.744402617666667,1.5770432193333335,-100,-64,-80,-100,-88,-100.0,-81.0,-73.0,-79.0,-68.0,-75.0,-65.0
455.0,1581252456.7514048,5.914000000000001,12.995068780499999,1.6248206341666664,-73,-65,-71,-84,-89,-77.0,-77.0,-70.0,-75.0,-69.0,-69.0,-81.0
459.0,1581252457.2051594,5.9012759289000005,12.9910293483,1.6464774907,-70,-100,-74,-85,-93,-80.0,-100.0,-78.0,-75.0,-68.0,-64.0,-73.0
464.0,1581252457.6610134,5.918683248600001,13.106398515699999,1.7494448262,-74,-64,-71,-77,-83,-75.0,-83.0,-72.0,-91.0,-100.0,-70.0,-100.0
468.0,1581252458.120278,5.929652425428571,13.022024626428571,1.7369326497142858,-81,-64,-100,-79,-100,-76.0,-70.0,-100.0,-100.0,-68.0,-100.0,-69.0
473.0,1581252458.5762057,5.9839892783333335,13.049809839888889,1.7698987702222222,-100,-68,-72,-100,-84,-81.0,-100.0,-84.0,-78.0,-74.0,-73.0,-65.0
477.0,1581252459.0345793,6.06096928231818,13.046878879590912,1.7118698075454546,-72,-100,-79,-73,-80,-81.0,-85.0,-77.0,-75.0,-65.0,-77.0,-79.0
482.0,1581252459.4864645,6.170537876,13.090035716818182,1.7063603895454547,-72,-65,-74,-78,-77,-81.0,-100.0,-71.0,-80.0,-72.0,-72.0,-82.0
486.0,1581252459.9383733,6.297007068363635,13.15533254809091,1.7246650959090912,-78,-68,-70,-71,-82,-76.0,-100.0,-80.0,-74.0,-72.0,-77.0,-80.0
491.0,1581252460.3896515,6.44334652245,13.148621290700001,1.6991163446000002,-75,-79,-59,-76,-86,-80.0,-75.0,-68.0,-75.0,-100.0,-61.0,-100.0
495.0,1581252460.841962,6.576408752500001,13.110537225375001,1.694667151,-73,-82,-55,-77,-81,-77.0,-100.0,-100.0,-100.0,-69.0,-100.0,-71.0
496.0,1581252460.8450332,6.5776883785,13.110716372999999,1.6951278164999999,-100,-100,-100,-100,-100,-100.0,-75.0,-76.0,-78.0,-100.0,-60.0,-100.0
500.0,1581252461.2960808,6.73702567875,13.062860811083333,1.6821774148333335,-70,-78,-59,-82,-77,-77.0,-75.0,-70.0,-83.0,-68.0,-66.0,-76.0
