timestamp,pos_x,pos_y,pos_z,b827eb4521b4,000000000102,b827eb917e19,b827ebf7d096,b827ebfd7811,000000000101,000000000302,000000000301,000000000402,000000000201,000000000202,000000000401
1581252411.2478058,11.711,4.128999999999999,1.84,-72,-78,-79,-94,-55,-74,-75,-86,-76,-82,-80,-67
1581252411.7028518,11.671568683545456,4.116871490727273,1.8517385528181818,-71,-78,-85,-87,-61,-71,-73,-78,-66,-200,-75,-67
1581252412.1600914,11.627846374444443,4.123087482777777,1.868832147888889,-68,-73,-200,-79,-58,-67,-81,-200,-200,-79,-79,-65
1581252412.6121879,11.675508050818182,4.1091382566363635,1.840491949181818,-68,-73,-79,-79,-200,-68,-81,-72,-69,-78,-78,-77
1581252413.0659485,11.700171246555556,4.1034972521111115,1.820663002555556,-200,-71,-77,-200,-53,-85,-200,-72,-70,-86,-76,-75
1581252413.5172246,11.716739128916666,4.100695654416667,1.81521739175,-79,-71,-77,-91,-53,-82,-77,-72,-68,-86,-76,-78
1581252413.9756486,11.732019959399999,4.065999831099999,1.8100518248,-200,-78,-78,-93,-54,-70,-81,-200,-76,-81,-81,-66
1581252414.4276032,11.750667299384615,4.04299810176923,1.8040018982307693,-71,-81,-78,-88,-54,-70,-80,-85,-75,-83,-75,-66
1581252414.8839357,11.744355389916665,4.035553898666666,1.8132230505000002,-70,-71,-81,-82,-61,-72,-77,-75,-69,-80,-79,-63
1581252415.3378584,11.75189470018182,4.049104515,1.7930265772727274,-88,-82,-71,-89,-54,-200,-78,-72,-61,-200,-71,-62
1581252415.7945645,11.750080447833334,4.063758656166667,1.7991992535,-200,-74,-75,-200,-60,-200,-200,-200,-68,-200,-82,-58
1581252416.245963,11.726825107444444,4.070363034222222,1.8040891023333334,-200,-71,-80,-200,-59,-84,-200,-72,-66,-79,-75,-65
1581252416.7010527,11.637803597923076,4.087466266846153,1.8090000000000002,-68,-84,-72,-78,-58,-74,-76,-77,-70,-76,-81,-67
1581252417.1545959,11.520199250636363,4.109182551272728,1.8129999999999997,-75,-200,-76,-200,-66,-77,-69,-80,-71,-80,-79,-70
1581252417.6108322,11.3886204398,4.1336651021,1.8131280848,-73,-81,-71,-91,-63,-71,-75,-73,-75,-200,-67,-200
1581252418.070093,11.243033022888888,4.153003669222222,1.8215985322222221,-78,-77,-200,-81,-65,-63,-82,-200,-200,-84,-74,-66
1581252418.529148,11.082426001846155,4.16741282276923,1.8342902939230767,-73,-72,-71,-80,-67,-83,-81,-74,-66,-84,-74,-68
1581252418.9892519,10.929474138166668,4.191000000000001,1.8440000000000003,-70,-74,-81,-85,-60,-72,-75,-70,-71,-76,-81,-78
1581252419.4492111,10.758219770375,4.186384157,1.847,-70,-79,-200,-79,-71,-79,-74,-200,-200,-83,-200,-84
1581252419.900343,10.583967241857142,4.185,1.8491359702857142,-72,-70,-200,-76,-62,-66,-78,-200,-200,-200,-200,-63
1581252420.3576744,10.353772328833333,4.17768861625,1.8387924111666667,-74,-80,-80,-84,-74,-72,-77,-69,-70,-86,-77,-77
1581252420.815328,10.14422428575,4.1727595585833335,1.8297213246666668,-74,-82,-75,-87,-70,-78,-71,-69,-62,-74,-74,-71
1581252421.2753599,9.977675598416667,4.16686755975,1.8367205359166665,-82,-72,-67,-80,-74,-71,-75,-75,-61,-200,-68,-65
1581252421.7343683,9.793585616375,4.150660431875,1.8308302161249999,-200,-70,-69,-200,-200,-200,-73,-68,-74,-88,-72,-64
1581252422.1909235,9.596326519416666,4.1402558305833335,1.823511661333333,-200,-72,-70,-92,-66,-64,-74,-79,-72,-78,-73,-65
1581252422.6449726,9.398901985249998,4.139390704,1.820609296,-71,-86,-73,-86,-71,-66,-74,-78,-67,-83,-71,-63
1581252423.0976107,9.197753000166667,4.141999307500001,1.8130005770833328,-69,-77,-80,-77,-82,-77,-75,-77,-64,-81,-82,-64
1581252423.5505047,9.006205922400001,4.1452499898,1.8047794160000001,-68,-70,-81,-85,-70,-78,-78,-69,-66,-200,-83,-200
