timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827ebfd7811,000000000202,000000000101,000000000402,000000000301,000000000201,000000000302,000000000401,b827ebf7d096,000000000102,b827eb917e19
1581249601.4120204,18.031,8.465,1.816,-87,-77,-77,-85,-76,-74,-86,-74,-69,-200,-200,-200
1581249601.866811,18.0296149299,8.46507662,1.8219233799999999,-72,-77,-74,-78,-74,-68,-200,-200,-64,-78,-89,-76
1581249602.321073,18.024109860636365,8.465219720999999,1.8282084657272726,-73,-74,-82,-82,-74,-69,-85,-200,-66,-77,-81,-76
1581249602.7766511,18.014758156090906,8.456255826,1.8434976694545453,-76,-74,-80,-84,-76,-200,-84,-80,-62,-82,-79,-74
1581249603.2317832,17.96418270111111,8.446045675222223,1.8589543247777778,-75,-72,-77,-86,-200,-79,-76,-63,-61,-200,-200,-73
1581249603.6898468,17.928396842916666,8.444950394666668,1.82749605375,-81,-77,-200,-77,-68,-72,-74,-71,-60,-77,-86,-79
1581249604.1478438,17.9043984847,8.441650378899999,1.8154473482,-74,-77,-76,-200,-75,-72,-200,-78,-64,-80,-84,-75
1581249604.6020806,17.891029513,8.443970487000001,1.7937060173750001,-200,-73,-82,-82,-75,-71,-200,-200,-64,-85,-80,-200
1581249605.0526595,17.883075119249998,8.44792488075,1.7830375596249999,-200,-72,-82,-83,-74,-72,-200,-200,-63,-83,-82,-200
1581249605.5103965,17.879,8.461265311,1.8227822968571428,-74,-71,-75,-83,-200,-77,-78,-200,-200,-200,-200,-74
1581249605.9660895,17.878701743272728,8.446894769909091,1.8620000000000005,-86,-200,-79,-79,-69,-82,-78,-63,-66,-81,-79,-73
1581249606.4184375,17.878,8.44340505388889,1.859594946111111,-76,-200,-200,-86,-68,-72,-73,-68,-62,-78,-200,-77
1581249606.8708026,17.876,8.459767874384616,1.8539999999999996,-79,-70,-85,-77,-78,-72,-76,-68,-70,-91,-80,-80
1581249607.3280292,17.859876203099994,8.437691567399998,1.8415677703,-71,-76,-75,-200,-82,-68,-200,-74,-67,-76,-78,-79
1581249607.7871351,17.8099541221,8.444741397800001,1.8425057347,-80,-73,-77,-79,-70,-200,-200,-77,-62,-76,-72,-86
1581249608.2442358,17.7353249268,8.4311861192,1.8519768654,-74,-78,-86,-87,-200,-72,-89,-70,-65,-77,-200,-75
1581249608.6966536,17.64100847545455,8.43205391118182,1.8589724591818182,-73,-200,-78,-71,-73,-200,-84,-69,-61,-80,-75,-79
1581249609.1552968,17.5412988759,8.430511062799999,1.8479151252000001,-71,-76,-79,-82,-74,-76,-200,-60,-61,-73,-200,-76
1581249609.6145356,17.4408183665,8.4163453068,1.8494690613,-200,-72,-76,-81,-73,-86,-81,-74,-69,-71,-72,-200
1581249610.0673819,17.33191282209091,8.469946272181817,1.8330960035454547,-78,-73,-77,-78,-74,-200,-78,-67,-65,-74,-78,-87
1581249610.5198476,17.225127056444443,8.422867930666666,1.8330440231111114,-78,-73,-84,-78,-79,-79,-80,-74,-200,-200,-200,-82
1581249610.9722311,17.111156086454546,8.42172801390909,1.824603960272727,-70,-74,-81,-78,-200,-73,-85,-68,-59,-79,-80,-77
1581249611.4311469,16.98485087,8.461277961916666,1.8224440763333334,-79,-71,-77,-80,-75,-71,-75,-66,-62,-75,-85,-77
1581249611.8902915,16.86564996909091,8.422692260363634,1.8320884828181818,-81,-77,-81,-200,-77,-75,-200,-200,-65,-75,-78,-88
1581249612.3409996,16.7512756262,8.376765375799998,1.8414413439000001,-71,-72,-82,-200,-70,-78,-83,-200,-59,-75,-71,-90
1581249612.79214,16.639984463555557,8.405918619111112,1.8457945745555557,-200,-72,-74,-80,-69,-79,-80,-200,-67,-69,-73,-200
1581249613.24475,16.5226123166,8.4578311384,1.8439647561,-200,-78,-79,-74,-67,-74,-80,-64,-64,-82,-73,-200
1581249613.6992586,16.39782932254545,8.493515767636366,1.8430538035454547,-79,-73,-76,-78,-74,-69,-83,-78,-200,-75,-200,-71
1581249614.1552374,16.235675664400002,8.4811554021,1.8478952708999998,-75,-200,-83,-76,-72,-200,-82,-74,-59,-78,-78,-72
1581249614.6100788,16.077013635916664,8.478309199166667,1.8547495675833332,-72,-72,-200,-83,-78,-70,-80,-67,-51,-73,-74,-73
1581249615.0702248,15.922068001090906,8.464803789727272,1.846877368545455,-71,-75,-74,-200,-80,-72,-79,-200,-54,-71,-74,-74
1581249615.521416,15.780562482454544,8.413162507363637,1.801249992090909,-72,-78,-77,-80,-74,-74,-79,-200,-57,-69,-72,-73
1581249615.9756052,15.6355006148,8.6758826307,1.8379737814,-76,-72,-200,-81,-91,-200,-78,-60,-53,-76,-80,-75
1581249616.4295642,15.52525093175,8.603468046625,1.9376361625,-74,-71,-74,-200,-70,-74,-82,-67,-200,-200,-200,-77
1581249616.8873193,15.399428758777779,8.367582329777777,1.9354127816666669,-70,-200,-200,-78,-78,-81,-86,-69,-56,-72,-200,-75
1581249617.3403742,15.259343046615383,8.440596859384616,1.9708955156923074,-71,-73,-200,-84,-80,-69,-78,-70,-51,-78,-83,-71
1581249617.8005614,15.089114920000002,8.348180444090909,1.987464550090909,-73,-72,-78,-200,-73,-71,-81,-200,-58,-75,-71,-71
1581249618.2524884,14.927244281222222,8.251665682555556,1.9181424353333334,-200,-71,-80,-75,-70,-78,-83,-200,-60,-65,-82,-200
1581249618.70638,14.776103835727275,8.252158297818182,1.8500718057272727,-71,-71,-85,-86,-71,-200,-81,-64,-59,-71,-78,-76
1581249619.158258,14.652933316299999,8.377493331600002,1.8912666710000003,-72,-66,-78,-81,-66,-200,-76,-67,-200,-68,-200,-74
1581249619.6108873,14.504295722714286,8.402590389142857,1.8707377222857142,-200,-66,-69,-80,-200,-72,-75,-67,-200,-200,-200,-77
1581249620.067255,14.366019752500003,8.387238401300001,1.8624437298,-70,-200,-200,-74,-69,-74,-78,-75,-59,-71,-75,-69
1581249620.5231435,14.263411936999999,8.25758855125,1.8735529354166662,-68,-66,-71,-69,-68,-71,-74,-70,-67,-72,-74,-72
1581249620.976013,14.12243265490909,8.187368240636363,1.8735973126363639,-67,-70,-71,-81,-69,-70,-200,-65,-68,-82,-70,-74
1581249621.434822,13.962942691545452,8.328099190181819,1.8285209410909091,-66,-67,-75,-81,-80,-200,-82,-73,-77,-74,-77,-76
1581249621.8853624,13.823428600909091,8.419461522636364,1.792846159,-68,-66,-77,-72,-73,-200,-81,-67,-83,-74,-70,-68
1581249622.3447237,13.66762015,8.469931228181817,1.7667241104545452,-71,-200,-76,-78,-75,-75,-78,-65,-80,-78,-85,-71
1581249622.7978952,13.509558292272725,8.498555213545455,1.765,-73,-200,-200,-77,-70,-74,-81,-70,-69,-74,-80,-74
1581249623.2556798,13.372444674999999,8.528999999999998,1.7570000000000003,-82,-71,-75,-74,-77,-79,-79,-72,-68,-82,-75,-73
1581249623.706877,13.21090351272727,8.527070817272728,1.762787547818182,-71,-70,-82,-77,-83,-74,-200,-63,-61,-75,-77,-75
1581249624.1619306,13.060809350000001,8.532783722888887,1.7609186145555555,-200,-89,-85,-78,-74,-81,-76,-200,-60,-82,-67,-200
1581249624.6206183,12.904286521749999,8.5281825255,1.7514955783750001,-81,-75,-68,-74,-69,-78,-77,-200,-200,-200,-200,-71
1581249625.0721574,12.761516509,8.526789373636364,1.7307893736363633,-72,-77,-68,-78,-200,-82,-73,-71,-60,-76,-79,-79
1581249625.5313168,12.61829585225,8.539692788666665,1.7341731972499999,-70,-78,-75,-74,-73,-76,-73,-73,-59,-88,-75,-71
