timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827ebfd7811,000000000202,000000000101,000000000402,000000000301,000000000201,000000000302,000000000401,b827ebf7d096,000000000102,b827eb917e19
1581249602.319176,18.024095268,8.465190537,1.828047951,-80,-77,-76,-82,-75,-71,-86,-74,-67,-78,-89,-76
1581249603.2278662,17.964609997,8.446152499,1.858847501,-75,-74,-81,-84,-75,-69,-85,-80,-64,-80,-80,-75
1581249604.1454616,17.904466559,8.44163336,1.815566479,-81,-77,-77,-82,-68,-76,-75,-65,-61,-77,-86,-76
1581249605.5120237,17.879,8.46122093,1.822930234,-74,-72,-82,-83,-75,-72,-78,-78,-64,-83,-82,-75
1581249606.8690832,17.876,8.4599663,1.854,-79,-70,-77,-83,-69,-77,-76,-66,-64,-81,-79,-75
1581249607.7832136,17.810476997,8.444839437,1.842440375,-76,-76,-80,-77,-80,-70,-76,-71,-69,-76,-78,-80
1581249608.6937542,17.641584033,8.432186891,1.858883193,-74,-76,-82,-83,-70,-72,-89,-74,-64,-77,-72,-81
1581249609.612115,17.441283929,8.415972857,1.849394571,-71,-76,-79,-81,-74,-76,-84,-65,-61,-77,-75,-78
1581249610.51605,17.226108155,8.423342656,1.832885781,-78,-73,-77,-78,-74,-86,-80,-71,-67,-73,-75,-87
1581249611.4285874,16.985480916,8.461159828,1.822680343,-75,-74,-83,-78,-79,-76,-83,-71,-59,-79,-80,-80
1581249612.3391614,16.751558413,8.376935048,1.841483762,-76,-74,-79,-80,-76,-73,-75,-66,-64,-75,-81,-83
1581249613.6951342,16.398830983,8.493250622,1.843083264,-79,-72,-79,-77,-69,-78,-80,-64,-64,-75,-73,-90
1581249614.607448,16.077802968,8.478290406,1.85403541,-75,-73,-78,-77,-73,-69,-83,-76,-59,-75,-78,-72
1581249615.519083,15.781516942,8.412759513,1.801674196,-72,-74,-74,-82,-79,-71,-80,-67,-53,-71,-75,-74
1581249616.4258535,15.525966546,8.600261032,1.935542327,-74,-75,-77,-81,-83,-74,-79,-60,-55,-73,-76,-74
1581249617.3380702,15.25996332,8.441004468,1.970913238,-71,-71,-74,-78,-74,-78,-84,-68,-56,-75,-86,-76
1581249618.250082,14.928126672,8.251525302,1.918082272,-73,-73,-79,-80,-77,-70,-80,-71,-55,-75,-76,-71
1581249619.154233,14.654171735,8.377617173,1.890957066,-72,-71,-83,-86,-71,-78,-82,-64,-60,-68,-80,-76
1581249620.0677154,14.365873956,8.387226891,1.862470587,-70,-66,-69,-80,-68,-73,-76,-67,-59,-70,-75,-74
1581249620.973897,14.123155507,8.186557236,1.873861771,-68,-68,-71,-69,-68,-71,-76,-73,-67,-72,-74,-72
1581249621.8817089,13.824524671,8.418871331,1.79304289,-67,-67,-73,-81,-75,-70,-82,-69,-73,-78,-74,-75
1581249622.795209,13.510632859,8.498420893,1.765,-71,-66,-77,-75,-74,-75,-80,-66,-82,-74,-78,-70
1581249623.7046175,13.211565138,8.527086955,1.762739136,-78,-71,-75,-74,-74,-77,-80,-71,-69,-82,-78,-74
1581249624.6168053,12.905566649,8.528427656,1.751713472,-76,-89,-84,-78,-79,-78,-76,-63,-61,-79,-72,-75
1581249625.528218,12.619338212,8.539467414,1.734116853,-71,-76,-68,-76,-69,-80,-75,-71,-60,-76,-79,-75
1581249626.438388,12.459260453,8.58137697,1.775405757,-68,-76,-81,-74,-76,-73,-73,-71,-60,-84,-75,-75
1581249627.3445508,12.238089895,8.590298454,1.796641855,-72,-77,-84,-70,-74,-75,-83,-70,-62,-76,-78,-83
1581249628.2541628,11.970608485,8.578754278,1.803688569,-67,-73,-78,-76,-66,-71,-80,-69,-73,-73,-71,-71
1581249629.1604705,11.678329421,8.596967351,1.809866471,-72,-79,-77,-76,-84,-78,-77,-78,-70,-73,-76,-69
1581249630.067708,11.390520039,8.573954152,1.811318051,-64,-79,-74,-77,-78,-70,-72,-69,-63,-80,-76,-77
1581249630.9817245,11.085022213,8.578502221,1.815,-69,-76,-71,-81,-78,-75,-77,-68,-62,-82,-70,-71
1581249631.8875723,10.792765567,8.574609374,1.812781253,-83,-87,-73,-72,-72,-69,-73,-69,-69,-72,-78,-68
1581249632.8010695,10.529479246,8.557618578,1.822595356,-63,-77,-85,-74,-69,-70,-74,-63,-69,-79,-74,-76
