timestamp,pos_x,pos_y,pos_z,b827ebf7d096,b827eb917e19,b827ebfd7811,b827eb4521b4,000000000302,000000000401,000000000402,000000000202,000000000301,000000000201,000000000101,000000000102
1568709719.218236,12.94,6.57,2.35,100,100,100,100,-75,100,-80,100,100,-75,100,100
1568709735.139855,12.94,6.57,2.35,100,100,100,100,-74,100,-77,100,100,100,-87,100
1568709753.311223,12.94,6.57,2.35,100,100,100,100,100,-70,100,100,100,-75,-84,100
1568709841.600921,12.94,6.57,2.35,100,100,100,100,100,-82,-73,100,100,100,-86,100
1568709885.250806,12.94,6.57,2.35,100,100,100,100,100,100,-77,100,100,100,-83,-82
1568709906.175912,12.94,6.57,2.35,100,100,100,100,-76,100,100,100,100,-76,-84,100
1568710265.850512,12.94,6.57,2.35,100,100,100,100,100,-71,100,100,-77,100,100,-78
1568710283.1329107,12.94,6.57,2.35,100,100,100,100,100,-76,100,100,-77,-76,100,100
1568710377.27846,12.94,6.57,2.35,100,100,100,100,-73,100,-81,100,-76,100,100,100
1568710380.91111,12.94,6.57,2.35,100,100,100,100,100,-70,100,100,100,-76,-79,100
1568710529.5278587,12.94,6.57,2.35,100,100,100,100,-74,-71,100,100,100,-76,100,100
1568710715.545942,12.94,6.57,2.35,100,100,100,100,100,100,-80,100,100,-76,100,-77
1568710779.663807,12.94,6.57,2.35,100,100,100,100,100,100,100,100,100,-76,-87,-78
1568710927.5933187,12.94,6.57,2.35,100,100,100,100,-76,100,100,100,100,-77,-84,100
1568711191.908068,12.94,6.57,2.35,100,100,100,100,-74,100,100,100,-77,100,-83,100
1568711336.129709,12.94,6.57,2.35,100,100,100,100,100,-70,-77,100,100,100,-86,100
1568711383.009522,12.94,6.57,2.35,100,100,100,100,-74,100,100,100,100,-76,-74,100
1568732443.797857,20.54,15.34,1.85,100,100,100,100,100,-82,100,100,-70,100,-82,100
1568732808.285725,20.54,15.34,1.85,100,100,100,100,-74,100,100,-85,100,100,100,-80
1568733026.63007,20.54,15.34,1.85,100,100,100,100,100,100,-81,100,-70,100,-83,100
1568733103.010781,20.54,15.34,1.85,100,100,100,100,-79,100,100,-87,100,100,-76,100
1568788327.3093767,15.52,6.57,1.90,100,100,100,100,-67,100,-81,100,100,-75,100,100
1568788491.97349,15.52,6.57,1.90,100,100,100,100,100,100,-77,100,100,100,-82,-80
1568788514.2395167,15.52,6.57,1.90,100,100,100,100,-66,-63,100,100,100,100,100,-78
1568788525.581582,15.52,6.57,1.90,100,100,100,100,100,-63,100,100,100,100,-82,-80
1568788626.949144,15.52,6.57,1.90,100,100,100,100,-66,100,-84,100,100,100,-78,100
1568788708.760852,15.52,6.57,1.90,100,100,100,100,100,-63,100,100,100,100,-87,-79
1568788790.141353,15.52,6.57,1.90,100,100,100,100,-67,100,-81,100,100,-75,100,100
1568788839.227216,15.52,6.57,1.90,100,100,100,100,-67,-63,100,-81,100,100,100,100
1568788906.607875,15.52,6.57,1.90,100,100,100,100,-67,-63,-70,100,100,100,100,100
1568788914.312862,15.52,6.57,1.90,100,100,100,100,100,100,-81,100,-73,-76,100,100
1568788987.16322,15.52,6.57,1.90,100,100,100,100,100,-62,100,100,100,100,-78,-80
1568789185.4638107,15.52,6.57,1.90,100,100,100,100,-67,100,100,100,100,100,-78,-80
1568789199.577934,15.52,6.57,1.90,100,100,100,100,-65,-66,100,100,100,-75,100,100
1568789321.957257,15.52,6.57,1.90,100,100,100,100,-66,-63,100,-83,100,100,100,100
1568789597.065768,15.52,6.57,1.90,100,100,100,100,-67,100,100,100,100,100,-86,-79
1568789658.886598,15.52,6.57,1.90,100,100,100,100,100,-66,100,100,-71,100,100,-84
1568789708.493168,15.52,6.57,1.90,100,100,100,100,-67,100,-74,100,100,-76,100,100
1568789858.646999,15.52,6.57,1.90,100,100,100,100,100,-66,100,100,-74,100,-78,100
1568790014.687454,15.52,6.57,1.90,100,100,100,100,-69,-66,100,100,100,-76,100,100
