timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827ebfd7811,000000000202,000000000101,000000000402,000000000301,000000000201,000000000302,000000000401,b827ebf7d096,000000000102,b827eb917e19
1581249602.3192475,18.024095819,8.465191637,1.828054004,-73,-77,-76,-82,-75,-71,100,100,-67,-78,100,100
1581249603.2278662,17.964609997,8.446152499,1.858847501,-76,-74,-81,100,-75,100,-85,100,-64,100,-80,-75
1581249604.146011,17.904450858,8.441637286,1.815539001,-78,-77,100,-82,100,-76,-75,-65,-61,100,100,-76
1581249605.0513625,17.883098705,8.447901295,1.783049353,100,-73,-79,-83,-75,-72,100,100,-64,-83,-82,100
1581249605.9667242,17.878724837,8.44682549,1.862,-80,100,-79,-81,100,-75,100,100,-65,-82,-81,-74
1581249606.8711407,17.876,8.459728891,1.854,-78,100,-82,100,-69,-77,-76,-66,100,-85,100,-79
1581249607.7851272,17.810221857,8.444791598,1.842472268,-76,100,100,-78,-80,-70,100,-71,-69,100,-76,-83
1581249608.6951332,17.641318839,8.432102028,1.858936232,-74,-76,-82,100,100,100,100,-74,-64,-77,-74,-77
1581249609.613706,17.440977882,8.416217694,1.849443539,100,-74,-79,-81,-74,100,-81,-69,-61,-72,100,100
1581249610.519688,17.225168268,8.422887872,1.833037376,-78,100,-77,-78,-74,-83,100,100,-67,100,-75,-85
1581249611.4307516,16.984948208,8.461259711,1.822480578,-75,-73,-83,100,100,100,-83,-71,100,-77,-83,-77
1581249612.3398397,16.751454095,8.376872457,1.841468114,-76,-75,-79,100,-76,-73,100,100,-64,-75,-78,100
1581249613.2428508,16.523182104,8.45758941,1.844016555,100,-75,-78,-77,-70,-79,-82,100,-63,100,-72,100
1581249614.1541114,16.236061624,8.481267974,1.847871148,-77,100,-78,100,-71,-72,-82,-71,100,-78,-76,100
1581249615.067905,15.922697658,8.464936349,1.846960218,-72,100,100,-80,-75,100,-81,-71,-55,100,-74,-73
1581249615.9717205,15.636842602,8.678178136,1.838185674,-74,-77,-76,100,-77,-73,-79,100,-56,-70,-74,-74
1581249616.8871014,15.399474012,8.367659429,1.935432894,-72,-72,100,-80,-81,100,-80,-64,100,-74,100,-75
1581249617.7988632,15.089963951,8.348774766,1.987818313,-72,100,100,100,-79,-75,-82,-69,-54,-77,-83,100
1581249618.7038572,14.776880193,8.252451381,1.850383674,100,-72,-79,100,-72,-75,-82,100,-59,100,-77,-74
1581249619.6082623,14.505042805,8.402852878,1.870757914,100,-69,-85,-84,-69,100,-79,-66,100,-70,100,-76
1581249620.5220118,14.263694836,8.258107199,1.873543505,-69,-66,-70,-77,100,-73,-77,-71,100,-72,100,100
1581249621.431129,13.964277858,8.327275364,1.828776611,-67,100,100,-75,-69,-71,100,-68,-68,100,-72,-73
