timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827ebfd7811,000000000202,000000000101,000000000402,000000000301,000000000201,000000000302,000000000401,b827ebf7d096,000000000102,b827eb917e19
1581249602.7768414,18.014747065,8.456247904,1.843500838,-75,-76,-77,-83,-74,-69,-85,-77,-66,-78,-85,-76
1581249604.146521,17.90443628,8.44164093,1.81551349,-75,-77,-79,-82,-72,-76,-75,-65,-61,-79,-83,-76
1581249605.9676938,17.878760096,8.446719711,1.862,-80,-72,-79,-83,-75,-72,-78,-71,-64,-83,-81,-74
1581249607.3255498,17.860124122,8.437539002,1.841663124,-78,-73,-82,-82,-73,-72,-75,-68,-66,-85,-80,-79
1581249608.6971524,17.640921739,8.432,1.85900301,-74,-76,-77,-79,-76,-70,-85,-74,-64,-77,-75,-79
1581249610.0681555,17.331706115,8.470062975,1.833073471,-75,-73,-78,-81,-73,-81,-81,-69,-65,-73,-75,-82
1581249611.4307516,16.984948208,8.461259711,1.822480578,-78,-73,-83,-78,-77,-76,-83,-68,-62,-77,-83,-77
1581249613.243637,16.522946141,8.457689516,1.843995104,-76,-75,-79,-80,-73,-77,-80,-65,-64,-75,-74,-89
1581249614.607989,16.077640605,8.478294271,1.85418231,-75,-73,-79,-77,-72,-72,-83,-76,-62,-77,-76,-72
1581249615.975628,15.635492757,8.67586919,1.837972541,-72,-75,-76,-81,-78,-72,-79,-64,-54,-70,-74,-74
1581249617.8000183,15.089386382,8.348370467,1.987577659,-72,-72,-76,-81,-79,-74,-82,-68,-53,-76,-80,-73
1581249619.157601,14.653135385,8.377513538,1.891216154,-72,-71,-80,-81,-71,-75,-81,-66,-59,-68,-78,-75
1581249620.5246463,14.263036204,8.256899707,1.87356546,-69,-66,-70,-74,-68,-72,-76,-71,-63,-71,-75,-72
1581249622.345586,13.667361501,8.470024077,1.766710846,-68,-67,-75,-80,-73,-73,-81,-69,-77,-76,-74,-73
1581249623.7046175,13.211565138,8.527086955,1.762739136,-78,-71,-76,-74,-75,-77,-79,-70,-69,-78,-78,-74
1581249625.073566,12.761055484,8.526853405,1.730853405,-72,-77,-82,-78,-74,-80,-76,-67,-61,-76,-77,-75
1581249626.8900833,12.362291853,8.59318012,1.78481988,-69,-73,-77,-74,-73,-76,-78,-71,-60,-79,-75,-72
1581249628.259036,11.968862226,8.578591835,1.803647959,-70,-77,-84,-71,-71,-74,-79,-71,-68,-74,-71,-77
1581249629.165054,11.676919084,8.59721416,1.809795954,-68,-79,-73,-82,-78,-76,-74,-73,-69,-75,-75,-71
1581249630.5285394,11.236388086,8.576572847,1.815058278,-67,-76,-73,-76,-81,-70,-75,-69,-62,-83,-70,-71
1581249631.4390433,10.938537798,8.575213445,1.813786555,-75,-83,-73,-72,-72,-69,-77,-69,-69,-78,-82,-68
1581249632.803033,10.528628448,8.55774947,1.822562633,-63,-72,-84,-74,-69,-70,-74,-63,-69,-76,-74,-76
1581249634.1678803,9.940247385,8.583841579,1.828316841,-67,-80,-77,-74,-79,-67,-82,-75,-66,-77,-72,-72
1581249635.0881262,9.490542237,8.526009537,1.821019073,-60,-73,-72,-77,-71,-70,-80,-75,-62,-77,-74,-67
1581249636.9017367,8.820289713,8.546690636,1.836267977,-60,-80,-70,-78,-77,-72,-75,-76,-68,-79,-73,-69
1581249637.82023,8.478181735,8.53510671,1.837778658,-69,-79,-76,-71,-74,-71,-75,-72,-74,-83,-69,-67
1581249638.7345805,8.143143894,8.522064912,1.837610531,-66,-73,-68,-68,-75,-71,-72,-69,-65,-87,-76,-74
1581249640.1040325,7.606493416,8.527387279,1.837888596,-64,-79,-73,-70,-77,-70,-78,-69,-67,-86,-74,-65
1581249641.4617748,7.114428971,8.534,1.83488449,-72,-79,-78,-71,-72,-71,-73,-71,-71,-86,-79,-66
1581249642.8210585,6.632932071,8.532356686,1.794070059,-65,-79,-75,-75,-80,-72,-78,-74,-67,-78,-71,-70
1581249644.1914048,6.276319133,8.683,1.86478556,-66,-83,-71,-72,-77,-77,-76,-70,-70,-79,-69,-66
1581249645.5579846,5.805464232,8.656527861,1.867763931,-65,-79,-71,-75,-72,-74,-70,-72,-72,-81,-66,-67
1581249646.468547,5.46577626,8.668218124,1.878260625,-72,-79,-70,-73,-74,-72,-68,-79,-72,-80,-74,-75
1581249647.8330674,4.897268722,8.732790787,1.859,-66,-81,-71,-65,-78,-74,-68,-80,-75,-78,-68,-68
1581249649.198357,4.380869383,8.571139046,1.862886938,-66,-86,-80,-66,-81,-71,-76,-76,-68,-84,-71,-72
1581249650.5663142,3.814575726,8.641337307,1.850301544,-70,-84,-73,-68,-80,-80,-72,-80,-70,-82,-66,-67
1581249652.389356,3.056725467,8.562498999,1.837498999,-77,-82,-76,-66,-75,-77,-75,-80,-69,-92,-62,-68
1581249654.203516,2.352837172,8.544618216,1.828,-84,-80,-75,-69,-76,-74,-71,-80,-72,-84,-63,-67
1581249655.1155927,1.999233754,8.541251477,1.841937131,-71,-88,-71,-73,-76,-77,-70,-76,-64,-91,-63,-76
1581249656.9441397,1.32022547,8.536189979,1.84,-77,-81,-70,-67,-74,-77,-72,-78,-74,-79,-62,-72
1581249658.3031209,0.833937502,8.479305852,1.857877659,-76,-83,-75,-71,-74,-74,-78,-69,-73,-83,-60,-71
1581249659.6705656,0.354176839,8.448104447,1.846,-74,-84,-71,-67,-80,-80,-71,-79,-69,-85,-66,-71
