timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827ebfd7811,000000000202,000000000101,000000000402,000000000301,000000000201,000000000302,000000000401,b827ebf7d096,000000000102,b827eb917e19
1581249602.3204577,18.024105128,8.465210256,1.828156406,-72,-74,-74,-78,-74,-68,-85,100,-64,-77,100,-76
1581249603.2327142,17.964081123,8.446020281,1.858979719,-75,100,-80,-84,-74,-69,-76,-63,-62,100,-79,-73
1581249604.1497202,17.904344884,8.441663779,1.815353547,-74,-72,-76,100,-68,-72,100,-65,-60,-77,-84,-75
1581249605.9646912,17.878650909,8.447047272,1.862,-74,-71,-75,-82,-74,-71,100,100,-63,-81,-80,-73
1581249606.8692565,17.876,8.459946301,1.854,-76,100,100,-79,-68,-72,-73,-63,-62,-78,-79,-77
1581249607.7870395,17.809966876,8.444743789,1.842504141,-71,100,-75,-77,-78,-68,100,-68,-67,-76,-74,-79
1581249608.6971524,17.640921739,8.432,1.85900301,-73,-73,-77,-71,100,100,-81,-70,-61,-77,-72,-75
1581249610.063171,17.332995542,8.469396641,1.83315084,-71,-72,-76,-81,-73,-76,-81,-60,-61,-71,100,100
1581249610.971158,17.111486879,8.421781656,1.824451975,-70,-73,-77,-78,-74,100,-78,-67,100,-74,-78,-77
1581249611.889107,16.865768413,8.422874482,1.832006483,-79,-71,-77,-78,100,-71,-75,-66,-59,-75,-81,100
1581249613.242116,16.523402546,8.457495889,1.844036595,100,-72,-74,-74,-69,-75,-80,100,-59,-69,-71,-88
1581249614.154186,16.236036039,8.481260511,1.847872748,-75,-73,-75,100,-67,-69,-80,-64,100,-75,-73,-71
1581249615.06917,15.922354288,8.464864061,1.846915038,-71,-72,100,-76,-72,100,-79,-67,-51,-71,-71,-73
1581249615.9750607,15.635688699,8.676204353,1.838003479,-72,-72,-74,-80,-74,-72,-78,100,-54,100,-72,-73
1581249617.3384235,15.259868127,8.440941912,1.970910518,-70,-71,100,100,-70,-74,-82,-60,-53,-72,-80,-75
1581249618.2514012,14.927642976,8.251602254,1.918115252,100,-71,-78,-75,-73,-69,-78,-66,-51,100,-71,-71
1581249619.157601,14.653135385,8.377513538,1.891216154,-71,100,-80,-81,-70,100,-81,-64,-59,-65,-78,-74
1581249620.521322,14.263867272,8.258423332,1.873537758,-68,-66,-68,-74,-66,-72,-75,-67,100,-68,100,-69
1581249621.431129,13.964277858,8.327275364,1.828776611,-66,100,-71,-69,-68,-70,100,-65,-67,-72,-70,-72
1581249622.3421187,13.668401696,8.469650673,1.76676419,-68,-66,-75,-72,-73,100,-81,-67,-77,-74,-70,-68
1581249623.2537403,13.373220227,8.529,1.757,-73,100,100,-73,-70,-74,-78,-65,-69,-74,-80,-71
1581249624.1590624,13.061792705,8.532824696,1.76112348,100,-70,-75,-74,-77,-74,100,-63,-61,-75,-75,-73
1581249625.07209,12.761538556,8.526786312,1.730786312,-72,-75,-68,-74,-69,-78,-76,100,100,-76,-67,-71
1581249625.9870749,12.525234038,8.562184397,1.75847518,-67,-73,-68,100,100,-76,-73,-71,-59,-79,-74,-71
1581249627.343056,12.238457866,8.590240958,1.79671085,-68,-70,-79,-70,-71,-70,100,100,-60,-75,-70,-72
1581249628.2566285,11.969725018,8.578672095,1.803668024,-64,-73,-72,-71,100,-68,100,-67,-66,-73,-71,-67
1581249629.1630728,11.677528702,8.597107477,1.809826435,-63,-76,-73,-80,-71,100,-76,-78,100,-71,-74,-71
1581249630.0690782,11.39005189,8.573885642,1.811295214,-64,-73,-71,100,100,-68,-71,-68,-61,-81,-70,-71
1581249630.98535,11.083813747,8.578381375,1.815,-67,-79,100,-73,-72,-69,-77,100,-62,-78,-69,-67
1581249631.8914893,10.791590546,8.574579245,1.81284151,-63,100,-73,100,-69,-64,-72,-67,-69,-71,-73,-69
1581249632.8050609,10.527749756,8.557884653,1.822528837,100,-72,-82,-67,-67,-67,-74,-62,-65,-79,-77,100
1581249633.7140265,10.152014697,8.583817647,1.818091176,100,-72,-74,-74,-79,-65,-81,-74,-65,-77,-69,100
1581249635.0851538,9.49169954,8.525940465,1.820955348,-59,-70,100,-74,-69,-70,-80,100,-60,-76,-70,-65
1581249635.9964724,9.161769666,8.540357841,1.830715681,-58,100,-68,-76,-77,-68,-75,-75,100,-77,-69,-68
1581249636.905049,8.819041213,8.546792554,1.836344416,-61,100,-67,-71,-73,100,-69,-70,-68,-77,-68,-67
1581249638.2701273,8.310665522,8.520638865,1.840083405,-67,-72,-70,-69,-74,-69,-74,-70,-67,100,100,-66
1581249639.186023,7.97273924,8.522568004,1.827940803,-65,-72,-66,-64,100,-68,-72,-66,-62,-86,-74,100
1581249640.1039786,7.606511985,8.527391819,1.837889422,-60,-79,100,-66,-76,-68,100,-68,-64,-74,-69,-61
1581249641.0145783,7.281514893,8.539629787,1.833148936,-64,100,-71,-70,-69,-70,-70,-69,100,-75,-73,-65
1581249641.915171,6.943226068,8.519629993,1.82331801,-62,-79,100,100,-78,-71,-74,-74,-66,-78,-71,-68
1581249642.8220286,6.63274613,8.53238094,1.794142819,-61,-78,-74,-70,-78,-66,100,-70,-67,-74,-69,100
1581249644.18865,6.277066834,8.683,1.864529767,-63,-78,-68,-69,-74,-73,-75,100,-69,-79,100,-63
1581249645.1062746,5.971493628,8.64993226,1.879,-60,-78,100,-72,-74,-71,-70,-68,100,-80,-66,-60
1581249646.0137184,5.619249924,8.677489587,1.886,-65,-77,-70,-71,-70,-68,100,-73,-71,100,-65,-67
