timestamp,pos_x,pos_y,pos_z,b827eb4521b4,b827eb917e19,000000000102,000000000101,000000000301,b827ebfd7811,000000000302,000000000202,000000000401,000000000402,b827ebf7d096,000000000201
1581248844.930502,17.981323387,8.410864677,1.859864677,-74,-77,-79,-83,100,100,100,100,100,100,100,100
1581248846.2957194,17.883326541,8.457564613,1.906564613,100,-80,100,100,-74,100,100,100,-65,-81,100,100
1581248847.2088122,17.85972933,8.48927067,1.936353348,100,100,100,-83,-72,100,100,-74,100,-77,100,100
1581248848.5700052,17.872666357,8.432668216,1.86100186,100,100,100,100,100,-75,100,100,-60,-68,100,-76
1581248849.9384098,17.865690592,8.423103136,1.842035887,100,100,100,100,100,100,-80,-76,100,-77,-75,100
1581248850.8465598,17.782518269,8.393,1.842496346,-71,-78,-78,100,100,-78,100,100,100,100,100,100
1581248851.7495327,17.631458217,8.404023556,1.830717331,100,100,100,100,100,100,100,-78,-65,-74,100,-77
1581248853.1124792,17.32702145,8.436035222,1.825246557,100,100,100,-79,-80,100,100,100,100,100,-72,-82
1581248854.0256622,17.120278346,8.459345681,1.85855219,100,100,100,-81,-72,-74,-68,100,100,100,100,100
1581248855.3878274,16.816775703,8.404025162,1.860562906,100,100,100,100,-80,-80,-66,100,100,100,-71,100
1581248856.7431817,16.623869434,8.412613585,1.856903396,-81,-74,100,100,100,100,100,100,-60,100,100,-81
1581248858.1131115,16.496294068,8.435607909,1.849,-80,100,100,100,-71,-73,100,100,-60,100,100,100
1581248859.0200474,16.417554677,8.480333536,1.844,100,-73,100,-80,100,-72,100,100,100,100,100,-85
1581248860.3844912,16.276281356,8.519880226,1.840179661,-78,100,100,100,100,100,-73,100,100,-78,-75,100
1581248861.291746,16.182496006,8.52,1.846,100,100,-74,100,-71,100,100,-81,-63,100,100,100
1581248862.6494343,16.052727158,8.529,1.839,100,100,100,-80,-69,100,100,100,100,-75,100,-84
1581248864.004073,15.868283564,8.394858218,1.870283564,-77,100,100,100,-72,-74,-76,100,100,100,100,100
1581248864.9145553,15.75550621,8.398303569,1.840202641,100,-74,-76,100,100,100,100,-80,100,100,-76,100
1581248865.8315475,15.626852696,8.521021007,1.851305239,100,100,100,100,-75,100,-67,100,100,-75,100,-83
1581248867.1899502,15.434513356,8.378938389,1.85348255,-71,100,100,100,100,100,100,-78,-58,100,-74,100
1581248868.1035535,15.257052381,8.441943805,1.886843812,100,100,-82,-80,100,100,-61,-79,100,100,100,100
1581248869.4698598,15.176162128,8.593225458,1.948666876,-79,100,100,100,-66,100,100,100,-53,-70,100,100
